Processes: 490 total, 3 running, 487 sleeping, 3732 threads 
2025/06/01 16:00:37
Load Avg: 1.34, 1.62, 2.05 
CPU usage: 5.19% user, 13.13% sys, 81.67% idle 
SharedLibs: 237M resident, 54M data, 35M linkedit.
MemRegions: 1112708 total, 1435M resident, 113M private, 713M shared.
PhysMem: 7458M used (1421M wired, 3505M compressor), 177M unused.
VM: 297T vsize, 5709M framework vsize, 760695(0) swapins, 1104588(0) swapouts.
Networks: packets: 12705930/15G in, 3015601/1167M out.
Disks: 14222817/346G read, 4802138/119G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS        %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT  MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES JETPRI USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
24925  com.apple.audio. 0.0  00:00.03 2     1   31     1889K 0B    1664K 24925 1     sleeping  0[0]         0.00000 0.00000    501 664      113    309      294       1599      781       523       2       0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24924  trustd           0.0  00:00.22 2     1   46     5729K 0B    5440K 24924 1     sleeping  0[0]         0.00000 0.00000    89  1696     144    242      89        3845      597       1252      19      1        0.0   0      0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
24923  triald_system    0.0  00:00.13 2     1   44     3489K 0B    3184K 24923 1     sleeping  0[0]         0.00000 0.00000    0   1130     145    106      42        2041      282       842       37      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24922  axassetsd        0.0  00:00.78 2     1   53     8273K 0B    7888K 24922 1     sleeping  0[0]         0.00000 0.00000    501 2634     193    576      114       7835      1334      3404      219     0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24920  helpd            0.0  00:00.05 2     1   42     2193K 0B    1952K 24920 1     sleeping  0[0]         0.00000 0.00000    501 756      121    129      38        485       329       303       53      0        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24917  SiriNCService    0.0  00:00.64 5     1   270    8721K 0B    4928K 24917 1     sleeping *0[256]       0.00000 0.00000    501 7127     253    6788     1636      9923      15247     4462      1006    3        0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24915  amsengagementd   0.0  00:00.45 3     2   94     7953K 0B    6256K 24915 1     sleeping *0[3]         0.00000 0.00000    501 7235     233    446      123       7121      1238      3616      376     23       0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24914  amsaccountsd     0.0  00:00.48 3     2   83     7809K 0B    6320K 24914 1     sleeping *0[13]        0.00000 0.00000    501 6119     205    557      189       6623      1330      3550      506     12       0.0   0      0      0      jaydeneatgood      N/A    N/A   N/A   N/A   N/A   N/A  
24913  countryd         0.0  00:00.09 2     1   35     3377K 0B    3040K 24913 1     sleeping *0[1]         0.00000 0.00000    0   1419     133    123      47        1152      276       506       32      0        0.0   0      0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
24908  containermanager 0.0  00:00.07 2     1   33     2881K 0B    2592K 24908 1     sleeping *0[4]         0.00000 0.00000    205 1103     123    134      53        1197      290       233       26      0        0.0   0      0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
